id,topic,question,optionA,optionB,optionC,optionD,answer
1,Present Simple,"She ____ to school every day.",go,goes,going,went,B
2,Subject-Verb Agreement,"The dogs ____ very friendly.",is,are,was,be,B
3,Articles,"I bought ____ umbrella because it was raining.",a,an,the,(no article),B
4,Prepositions of Time,"We meet ____ Monday morning.",in,on,at,by,B
5,Past Simple,"They ____ a movie last night.",watch,watches,watched,watching,C
6,Countable/Uncountable,"How ____ water do you drink a day?",many,much,a few,several,B
7,Comparatives,"This test is ____ than the last one.",easy,easier,easiest,more easy,B
8,Pronouns,"Anna and I went shopping. ____ bought some shoes.",We,Us,Our,Ours,A
9,There is/There are,"____ two apples on the table.",There is,There are,There have,It has,B
10,Modal Verbs,"You ____ wear a seatbelt in the car.",can,must,might,would,B
